transaction_id,customer_id,persona,timestamp,amount_ratio,amount_zscore,is_unusual_hour,is_new_merchant,is_new_beneficiary,transaction_velocity,days_since_last_transaction,hour,amount,is_fraud
T0006082,C0175,high_business,2026-01-01 11:09:00.000000000,0.982657385235109,-0.08324455087147653,0,1,1,0,0.0,11,11791.89,0
T0003328,C0098,mid_weekend,2026-01-01 12:13:00.000000000,0.6602115407659013,-1.7033197976261123,0,1,1,1,-0.086,12,1985.74,0
T0001233,C0035,mid_weekend,2026-01-01 13:35:00.000000000,0.8039993599305468,-0.8166693336227218,0,1,1,0,0.0,13,2010.0,0
T0003327,C0098,mid_weekend,2026-01-01 14:17:00.000000000,1.2030919247572935,0.84621635315539,0,1,1,0,0.0,14,3007.73,0
T0003586,C0105,low_evening_shopper,2026-01-01 22:09:00.000000000,1.1866168552852565,0.7257322149982202,0,1,1,0,0.0,22,830.63,0
T0006083,C0175,high_business,2026-01-02 08:14:00.000000000,1.1992522989581784,0.9398243668623741,0,1,1,0,0.878,8,14141.45,0
T0006084,C0175,high_business,2026-01-02 09:01:00.000000000,0.8971898761269463,-0.5332419417918216,0,1,0,1,0.033,9,11633.56,0
T0004083,C0118,high_business,2026-01-02 12:35:00.000000000,1.227873161908118,1.0937911771589666,0,1,1,0,0.0,12,14734.48,0
T0003329,C0098,mid_weekend,2026-01-02 15:26:00.000000000,2.730865497517,7.2025175276244875,0,0,0,0,1.134,15,6818.24,0
T0005107,C0150,low_evening_shopper,2026-01-02 19:38:00.000000000,0.9203017108968234,-0.3099377909567977,0,1,1,0,0.0,19,644.21,0
T0001897,C0055,high_business,2026-01-03 10:56:00.000000000,1.2101832470951213,0.8836469540742073,0,1,0,2,-0.027,10,12719.55,0
T0001898,C0055,high_business,2026-01-03 11:17:00.000000000,0.9672443512265436,-0.3473445780786953,0,0,0,3,0.015,11,10878.41,0
T0001896,C0055,high_business,2026-01-03 11:35:00.000000000,0.9542285013145061,-0.19693843075976983,0,1,1,1,-0.078,11,10264.26,0
T0004159,C0121,high_business,2026-01-03 11:57:00.000000000,1.0465070876001852,0.223234020480889,0,1,1,0,0.0,11,12558.09,0
T0005035,C0148,high_business,2026-01-03 12:04:00.000000000,0.6632042266834918,-1.850698344279163,0,0,0,1,-0.014,12,9110.8,0
T0005034,C0148,high_business,2026-01-03 12:24:00.000000000,1.1447951120687665,0.6950165379300793,0,1,1,0,0.0,12,13737.54,0
T0001234,C0035,mid_weekend,2026-01-03 12:38:00.000000000,1.3347154166487376,1.1212957531019636,0,1,0,0,1.96,12,2682.78,0
T0001895,C0055,high_business,2026-01-03 13:27:00.000000000,0.8963840145051176,-0.49735673037543526,0,1,1,0,0.0,13,10756.61,0
T0004636,C0136,high_business,2026-01-03 13:44:00.000000000,0.9508984116456627,-0.2356876241008191,0,1,1,0,0.0,13,11410.78,0
T0004084,C0118,high_business,2026-01-03 14:58:00.000000000,0.6453203299016588,-2.0904079103432567,0,1,1,0,1.099,14,9508.46,0
T0000709,C0020,mid_weekend,2026-01-03 15:53:00.000000000,0.8796091464707433,-0.5016285563719028,0,1,1,0,0.0,15,2199.02,0
T0006129,C0176,mid_weekend,2026-01-03 17:23:00.000000000,0.8672677959421883,-0.5530508502408823,0,1,1,0,0.0,17,2168.17,0
T0003150,C0093,low_evening_shopper,2026-01-03 20:36:00.000000000,0.8857914980610732,-0.4441441742069375,0,1,1,0,0.0,20,620.05,0
T0005108,C0150,low_evening_shopper,2026-01-03 20:48:00.000000000,1.2518868622099422,0.9014907620609418,0,1,1,0,1.049,20,806.48,0
T0002243,C0066,low_evening_shopper,2026-01-03 22:29:00.000000000,0.834569276725033,-0.6433417016248717,0,1,1,0,0.0,22,584.2,0
T0004160,C0121,high_business,2026-01-04 09:00:00.000000000,0.906681535967141,-0.46876048326887976,0,0,1,0,0.877,9,11386.18,0
T0005718,C0166,high_business,2026-01-04 09:10:00.000000000,1.3521553545859362,1.6903457020124937,0,1,1,0,0.0,9,16225.86,0
T0001385,C0040,high_business,2026-01-04 09:43:00.000000000,0.7161035400069576,-1.8302624122329851,0,0,0,4,-0.03,9,9578.66,0
T0005037,C0148,high_business,2026-01-04 09:54:00.000000000,0.856184195315198,-0.8590687682163809,0,1,1,1,-0.226,9,10149.85,0
T0006085,C0175,high_business,2026-01-04 10:19:00.000000000,0.5749747016981847,-4.641263072514303,0,0,0,0,2.054,10,7200.01,0
T0001384,C0040,high_business,2026-01-04 10:26:00.000000000,1.2973872170430172,2.4348682143927265,0,1,0,3,-0.042,10,16153.03,0
T0001899,C0055,high_business,2026-01-04 10:49:00.000000000,2.9643971911198506,23.50440024346714,0,0,1,0,0.981,10,33066.99,0
T0002064,C0061,high_business,2026-01-04 10:56:00.000000000,1.2574889456112623,1.2359469389340594,0,1,1,0,0.0,10,15089.87,0
T0001383,C0040,high_business,2026-01-04 11:26:00.000000000,0.8733670109675463,-0.6584480438047285,0,1,1,2,-0.042,11,11353.02,0
T0004163,C0121,high_business,2026-01-04 11:37:00.000000000,0.5332040839841033,-0.6750102432156934,0,1,1,2,-0.003,11,11250.81,0
