transaction_id,customer_id,persona,timestamp,amount,merchant,beneficiary,is_fraud
T0006082,C0175,high_business,2026-01-01 11:09:00.000000000,11791.89,TajHotels,payroll,0
T0003328,C0098,mid_weekend,2026-01-01 12:13:00.000000000,1985.74,IRCTC,family_upi,0
T0001233,C0035,mid_weekend,2026-01-01 13:35:00.000000000,2010.0,Myntra,self_upi,0
T0003327,C0098,mid_weekend,2026-01-01 14:17:00.000000000,3007.73,Myntra,self_upi,0
T0003586,C0105,low_evening_shopper,2026-01-01 22:09:00.000000000,830.63,LocalKirana,self_upi,0
T0006083,C0175,high_business,2026-01-02 08:14:00.000000000,14141.45,Indigo,self_neft,0
T0006084,C0175,high_business,2026-01-02 09:01:00.000000000,11633.56,OfficeSupplies,payroll,0
T0004083,C0118,high_business,2026-01-02 12:35:00.000000000,14734.48,Indigo,self_neft,0
T0003329,C0098,mid_weekend,2026-01-02 15:26:00.000000000,6818.24,IRCTC,self_upi,0
T0005107,C0150,low_evening_shopper,2026-01-02 19:38:00.000000000,644.21,BigBazaar,friend_a,0
T0001897,C0055,high_business,2026-01-03 10:56:00.000000000,12719.55,OfficeSupplies,self_neft,0
T0001898,C0055,high_business,2026-01-03 11:17:00.000000000,10878.41,Indigo,payroll,0
T0001896,C0055,high_business,2026-01-03 11:35:00.000000000,10264.26,TajHotels,payroll,0
T0004159,C0121,high_business,2026-01-03 11:57:00.000000000,12558.09,OfficeSupplies,payroll,0
T0005035,C0148,high_business,2026-01-03 12:04:00.000000000,9110.8,TajHotels,payroll,0
T0005034,C0148,high_business,2026-01-03 12:24:00.000000000,13737.54,TajHotels,payroll,0
T0001234,C0035,mid_weekend,2026-01-03 12:38:00.000000000,2682.78,Zomato,self_upi,0
T0001895,C0055,high_business,2026-01-03 13:27:00.000000000,10756.61,Indigo,self_neft,0
T0004636,C0136,high_business,2026-01-03 13:44:00.000000000,11410.78,Indigo,self_neft,0
T0004084,C0118,high_business,2026-01-03 14:58:00.000000000,9508.46,OfficeSupplies,payroll,0
T0000709,C0020,mid_weekend,2026-01-03 15:53:00.000000000,2199.02,BookMyShow,family_upi,0
T0006129,C0176,mid_weekend,2026-01-03 17:23:00.000000000,2168.17,IRCTC,family_upi,0
T0003150,C0093,low_evening_shopper,2026-01-03 20:36:00.000000000,620.05,BigBazaar,friend_a,0
T0005108,C0150,low_evening_shopper,2026-01-03 20:48:00.000000000,806.48,NewShop_17,self_upi,0
T0002243,C0066,low_evening_shopper,2026-01-03 22:29:00.000000000,584.2,NewShop_6,friend_a,0
T0004160,C0121,high_business,2026-01-04 09:00:00.000000000,11386.18,OfficeSupplies,vendor_x,0
T0005718,C0166,high_business,2026-01-04 09:10:00.000000000,16225.86,OfficeSupplies,self_neft,0
T0001385,C0040,high_business,2026-01-04 09:43:00.000000000,9578.66,TajHotels,self_neft,0
T0005037,C0148,high_business,2026-01-04 09:54:00.000000000,10149.85,Indigo,self_neft,0
T0006085,C0175,high_business,2026-01-04 10:19:00.000000000,7200.01,Indigo,payroll,0
T0001384,C0040,high_business,2026-01-04 10:26:00.000000000,16153.03,TajHotels,vendor_x,0
T0001899,C0055,high_business,2026-01-04 10:49:00.000000000,33066.99,Indigo,vendor_x,0
T0002064,C0061,high_business,2026-01-04 10:56:00.000000000,15089.87,OfficeSupplies,self_neft,0
T0001383,C0040,high_business,2026-01-04 11:26:00.000000000,11353.02,OfficeSupplies,vendor_x,0
T0004163,C0121,high_business,2026-01-04 11:37:00.000000000,11250.81,AWS,self_neft,0
T0004162,C0121,high_business,2026-01-04 11:41:00.000000000,14139.97,TajHotels,payroll,0
T0001381,C0040,high_business,2026-01-04 11:50:00.000000000,11397.47,AWS,self_neft,0
T0001469,C0043,high_business,2026-01-04 12:07:00.000000000,8463.67,AWS,vendor_x,0
T0001382,C0040,high_business,2026-01-04 12:27:00.000000000,14600.82,Indigo,self_neft,0
T0004161,C0121,high_business,2026-01-04 12:36:00.000000000,46317.26,OfficeSupplies,payroll,0
T0001386,C0040,high_business,2026-01-04 12:39:00.000000000,33453.42,AWS,self_neft,0
T0006086,C0175,high_business,2026-01-04 12:40:00.000000000,10685.09,OfficeSupplies,self_neft,0
T0005719,C0166,high_business,2026-01-04 12:58:00.000000000,14093.22,AWS,self_neft,0
T0005038,C0148,high_business,2026-01-04 13:04:00.000000000,14957.63,AWS,payroll,0
T0000710,C0020,mid_weekend,2026-01-04 13:27:00.000000000,2503.19,NewShop_38,self_upi,0
